"ID_REF"	"WT.GSM130365"	"WT.GSM130366"	"WT.GSM130367"	"KO.GSM130368"	"KO.GSM130369"	"KO.GSM130370"
"102426_at"	421.6	260.2	346.9	397.4	421.8	326.8
"102427_at"	980.1	937.4	1032.9	1087.2	1196.1	1260.9
"102429_at"	274.3	389.5	81.2	201.4	234.9	207.9
"102430_at"	260.1	174.1	52.4	141.9	260	187.1
"102431_at"	72.5	165.7	50.6	527.2	495.4	620.7
"102476_f_at"	1032.3	1215.1	914.4	917.1	1081.2	960.2
"102477_at"	60.2	70.1	50.8	27.2	93.4	48.1
"102478_f_at"	226.9	228.8	280.2	221.9	307.9	189.3
"102552_at"	12.9	58.7	28.8	56.9	30.5	14.1
"102553_at"	55.1	6	35.6	36	21.6	21.1
"102554_at"	21.5	15.9	23.5	13.4	23	14.9
"102555_at"	18.7	8.7	13.9	25.7	10.8	16.5
"102556_at"	63.4	16.9	20.1	141.1	29	62.7
"102557_at"	144.5	17.4	109.2	86.6	165.7	83.1
"102558_at"	46	79.1	36.8	75.3	10.4	41.8
"102559_at"	20.4	37.9	33	42	47.3	7.7
"102560_at"	8.7	10.5	11.5	10.9	10.3	11.4
"102561_at"	255.2	151.7	267.8	296.9	187.8	306.9
"102562_at"	408.1	507.9	470.4	434.1	906.9	563.6
"102566_at"	44.4	88.7	138.4	65.6	53.3	39.5
"102567_at"	12.6	10.1	17.2	16.2	20.7	21.9
"102568_at"	34.4	55.8	107.2	22.9	19.9	25.3
"102569_at"	29.1	36.5	18.8	33.8	16.7	18
"102570_at"	176.4	60.1	55.4	178.7	247.2	144.2
"102571_at"	9.7	26.4	24.9	35	29.7	17.3
"102572_at"	31.3	26.8	26	15.7	37.4	24.5
"102573_at"	97.5	10.3	28.7	20.8	30.7	24.9
"102574_at"	150.8	101.7	163.5	138.1	151.8	190.7
"102575_at"	35.5	244.2	221	122.8	243.3	188.1
"102576_at"	18.4	109.6	42.3	81.7	73.1	114.5
"102577_at"	396.2	156.5	99.3	77.6	233.1	243.1
"102578_at"	26.2	38.4	45.2	26.3	72.6	38.8
"102579_f_at"	10	29.6	22.5	10.8	9.6	11.6
"102580_r_at"	300.1	99.8	346.4	227.7	427	288.8
"102581_at"	125.3	98.8	209.8	73.1	153.4	42.9
"102582_at"	40.2	62.6	85.2	57	29	24.5
"102583_at"	83.2	52.5	83.4	69	4.7	51
"102584_at"	490.3	298.9	394.3	394.4	209	408
"102585_f_at"	194.8	225.4	180.4	219	255.2	218.1
"102586_at"	22.7	36	27.4	20.3	27.5	25.6
"102599_at"	24069.5	23841.6	24390.4	24522	21910.3	21681.9
"102612_at"	13.2	62.8	15.1	9.6	94.4	17.8
"102613_at"	72.6	7.1	43.1	45.2	30.4	18.2
"102614_at"	64.7	14.2	37.2	41.3	20.9	7.3
"102619_at"	13.1	28.7	66.5	19.6	40.1	29
"102620_at"	46.8	28.2	26.2	22.5	25	20.3
"102621_at"	93.9	91.1	127	92.4	101.3	144
"102622_r_at"	111.8	19.2	72	26.1	31.1	12.5
"102623_at"	126.2	106.7	86.1	20.8	27.4	10.9
"102624_at"	130.8	329.1	197.8	221.7	278	203.4
"102625_f_at"	119.9	98.5	99.6	60.3	38.5	23
"102626_r_at"	99.1	94.7	133.2	63.1	62.5	120.3
"102627_at"	7881.2	6454.9	8764.6	8857.4	8103.2	8149.7
"102628_at"	23.2	28.7	43.7	46.8	17.4	27.9
"102629_at"	51.7	229.8	56.6	35	58.1	42
"102630_s_at"	29.1	20.3	34.4	41.3	26.4	27.4
"102631_at"	438.2	495.1	599.2	459.7	648.9	600.3
"102632_at"	235.6	283.5	229.4	243	267.1	256.4
"102633_at"	35.9	42.1	28.2	85.4	110.7	27.7
"102635_at"	11.4	59.5	11.4	8.5	14.4	58
"102636_at"	160.6	100.3	130.4	114.5	76.8	200.7
"102637_at"	174.3	208.2	269.2	232.8	161	254.9
"102638_at"	32.8	21.2	30.8	19.6	19	13.7
"102639_at"	16.1	20.5	26.8	28	24.3	19.2
"102640_at"	127.3	123.6	63.4	41.8	28.2	105.2
"102641_at"	30.8	36.4	200.2	77.5	41.6	177.8
"102642_at"	306	337	486.9	437.3	463.3	331.8
"102643_at"	160.7	224.5	193.2	150.7	146.3	170.5
"102644_at"	204.9	146	201.1	186.9	93.5	146
"102645_at"	223.5	227.7	204.2	194.3	293.7	186.8
"102646_at"	613.3	462.9	526.8	427.3	462	352.1
"102647_g_at"	1713.7	1623	1728.6	1682	1542.6	1549.2
"102648_at"	18.3	28.5	30	18.5	58	68.8
"102649_s_at"	677.9	644.8	531.7	410.5	420.6	508.5
"102650_at"	36.9	197.1	34.4	43.5	66.2	155
"102651_at"	243.7	257.9	178.2	214.4	258.8	104.7
"102652_at"	269.4	211.9	323.3	139.8	165.8	58.6
"102653_at"	29.2	14.5	10.5	31.6	30	6.1
"102654_at"	70.4	86.1	211.7	192.7	54	161.2
"102655_at"	5.5	9.6	52.9	4.4	7.9	17.5
"102656_at"	69.7	15.9	98.4	10.1	80	5.8
"102657_at"	65.9	64.4	83.7	136.4	65.5	42.9
"102658_at"	84.7	141	141.1	114.6	194.4	158.9
"102659_at"	882.2	712.5	583.7	477.7	509.5	547.5
"102660_at"	23.1	104.2	150.6	75.9	50.6	87.6
"102661_at"	43.2	154.7	41.4	37.6	56.4	123.2
"102662_at"	14.9	18.8	30.2	32.8	11.6	12.8
"102663_at"	482.3	364.7	411.8	333.6	383.6	409.9
"102664_at"	127.6	167.7	149.6	75.5	78.6	84.3
"102665_at"	1446.8	1850.6	2074.2	1391.2	1209.2	1195.3
"102666_at"	32.6	93.6	60.8	39.4	45.7	47.7
"102667_at"	44.8	123.6	59.4	106	66.3	24.9
"102668_at"	108.2	108.3	116.4	84.5	117.4	131
"102669_at"	12.8	86	13.1	87	17.2	6
"102670_at"	581.8	570.7	589.6	919.1	951.7	919.7
"102671_at"	130.4	79	94.9	65.3	28.9	138.6
"102672_g_at"	172.2	209.9	75.6	195	88.7	81.4
"102673_at"	51.7	11.3	56.9	165.5	90.7	131
"102674_at"	3	53.1	19.1	2.6	45.8	1.2
"102675_at"	175.8	19.9	180.1	158.7	181.3	143.7
"102676_at"	144.1	14.3	211.2	73.3	103.5	133.2
"102677_at"	145.9	165.3	156.1	222.3	41.6	147.3
"102678_at"	180.7	138.9	248.9	102.7	136.4	113.3
"102679_at"	227.5	114.4	187.2	145.5	244.3	194.2
"102680_g_at"	136.4	207	204	112.1	162	82.7
"102681_at"	216	46.8	49.8	60.7	42.5	46.2
"102682_at"	220.8	201.3	265	216.7	277.3	242
"102683_at"	1768	1392.7	2096.6	1424.2	1683.3	1569.1
"102684_at"	46.1	91.2	65.1	31.4	59.7	37.7
"102685_at"	19.2	24.9	4.4	27.4	107.7	8.8
"102686_at"	753.9	823.2	1096.8	1374.8	1307.2	1284.2
"102687_at"	117.8	77.6	163.4	75.1	21.3	9.3
"102688_f_at"	10.2	8.4	30.3	24.3	9.5	55
"102689_at"	464.5	453.4	635.4	554.4	613	491.9
"102690_at"	44	46.2	39.6	38.1	33.9	36
"102691_at"	833.5	818.3	1067	787	847.9	615.8
"102692_s_at"	58.3	32.1	51.2	34.5	42.1	18.8
"102693_f_at"	25.7	28.6	122.7	15.3	50.4	25.2
"102694_at"	1.1	10.6	108	4.3	2	1.7
"102695_at"	135.6	248.3	187	200.1	138.5	155.2
"102696_s_at"	304.8	430.7	256.9	397.5	337.1	386.1
"102697_at"	777.3	786	633.6	968.2	954.2	914.8
"102698_at"	97.3	86.3	223.9	232.3	203.1	182.6
"102699_at"	161	123.8	133.6	135.6	16.4	128.4
"102700_at"	16.5	8	78.3	48.2	11.2	5.7
"102701_at"	86.2	112.3	93.6	203.4	233.8	220.4
"102702_at"	84.5	90.3	103.4	172.5	37.8	112.3
"102703_s_at"	4.5	50	13.6	17.3	15.8	5
"102704_at"	54.9	5.2	24.6	45.8	10.6	32.7
"102705_at"	6.4	5.3	5.5	6.1	3.9	3.8
"102706_i_at"	8.2	23.3	6.6	1.6	39.7	52.5
"102707_f_at"	292.2	394.4	214.8	318.6	341.8	270.1
"102708_at"	15.6	27.6	32.1	20.7	20	39.5
"102709_at"	36.4	122.8	48.1	87.5	110.5	51.9
"102710_at"	422.3	373.7	332.4	297.5	281.8	266.8
"102711_at"	393.3	443.2	326.7	321.9	386.6	361.4
"102712_at"	25.6	47.2	37.5	265.3	246.4	199.1
"102713_at"	687.6	414.5	97.5	430.5	518.3	583.1
"102714_at"	176.2	79.5	108.9	26.4	123.7	124.2
"102715_at"	102.8	127.6	21.6	73.1	88.8	58
"102716_at"	225.5	292.4	54.8	207.7	237.9	195.7
"102717_at"	14.7	14.7	22.3	22.5	17.3	36.4
"102718_at"	21.1	20.2	6.5	6.5	15.3	8.4
"102719_f_at"	6.1	5.3	5.3	14.2	4.7	5.7
"102720_at"	13.3	25.9	18.2	10.2	45.8	107.2
"102721_at"	142.7	86.9	270	185.5	233	91.4
"102722_g_at"	13.2	18.2	31.4	37	48.4	27
"102723_at"	22.5	5.3	20.9	16.1	11.2	7.3
"102724_at"	187.5	162.5	181.1	163.8	105.9	87.7
"102725_at"	38.2	23.4	27.8	12.1	30.4	23.6
"102726_at"	14.2	7.7	10.6	57.6	49.7	55.2
"102727_at"	644.9	606.9	388.5	359.5	386.1	392.2
"102728_f_at"	36.5	13.2	34.3	71.8	24.2	60
"102729_f_at"	75.1	7.9	6.3	6.7	6.2	3
"102730_at"	22.7	24.3	44.1	47.4	12.1	18.6
"102731_g_at"	479.4	285.8	456.7	124.3	185.1	146.3
"102732_at"	256.4	189.1	300.6	215.6	213	198.6
"102733_at"	16.4	12	19.9	10.8	12.7	16.1
"102734_at"	357.4	281.6	349.4	258.4	303.7	377
"102735_at"	40.4	22	14.2	8.8	9.8	47.9
"102736_at"	3221.3	3323.8	3091.5	1595.5	2004.3	2064.9
"102737_at"	92.3	42.3	13.7	110.5	54.1	50.7
"102738_s_at"	179.7	55.1	48	158.6	65.1	51.4
"102739_s_at"	12.1	24.7	47.4	15.6	26	23.2
"102740_at"	143	67.3	133.1	106.1	86.6	120.4
"102741_at"	22.9	50.8	45.8	164.3	32.1	48.9
"102742_g_at"	101	160	65.3	397.8	356.8	409.3
"102743_at"	238.6	228.6	566.8	483.8	226	243.7
"102744_at"	10.1	8	18.2	10.4	6.1	13.3
"102745_at"	53.2	18.9	45.3	10.9	9.5	65.5
"102746_at"	22.7	34.5	24.6	31.8	39.4	35.9
"102747_at"	219.7	141.2	126.5	178.5	78.1	131.8
"102748_at"	15.4	12.4	117.2	44.6	27	83.2
"102749_at"	103.5	82.9	45.9	109.5	141.8	188.5
"102750_at"	630.7	748.2	663.3	654.2	652	643.7
"102751_at"	294.8	300.5	350.9	207.5	311.7	228.5
"102752_at"	1221.3	1388.3	1455.8	1366.4	1220.1	1376.1
"102753_at"	209.2	238.3	202.7	404.3	228.5	184
"102754_at"	475.2	397.2	401.4	372.7	364.1	381.5
"102755_at"	121.8	337.6	281.3	215.3	192.2	196.1
"102758_at"	155.8	273.8	163	301.7	161.5	238.7
"102759_at"	340.4	337.8	288.4	455.6	394.6	332.3
"102761_at"	461.1	381.2	342.4	476.9	417.7	424.5
"102762_r_at"	162	106.1	200.7	125.4	122.2	114.2
"102763_at"	31.8	6.3	13.3	17.1	9.9	20.2
"102764_at"	2613.3	2745.5	2455.2	5469	4979.7	5183.5
"102765_at"	656.1	655.1	608.6	650.5	658.6	650.2
"102766_at"	74.4	59.9	54.9	46.3	39.1	74.4
"102767_at"	675	580.7	580.6	445	432	586.7
"102768_i_at"	161.7	125.3	146.3	95.5	187.9	130.9
"102769_f_at"	128.2	73.3	20.7	118.5	114.4	73.9
"102770_at"	131	265.5	177.9	232.2	117.3	264.5
"102771_at"	1068.2	1095.4	1070	762.1	785.5	1331.8
"102772_at"	725.5	699.5	810.6	541.1	463	499.8
"102773_at"	17.4	3.1	10.5	8.4	7.4	32.5
"102774_at"	16.7	16.8	23.6	27.9	10.7	15.8
"102776_at"	340.5	461.7	493	388.5	440	451.6
"102777_at"	34.4	43.5	50.6	26.2	43.8	42.6
"102778_at"	236.3	64	349.8	182.2	111.6	79.6
"102779_at"	261.9	238.7	152.2	244.7	219.6	168.3
"102780_at"	369.3	316.3	354.7	476.8	445.2	371.7
